,分类器,体育,军事,国际,政治,航空
1,bayes,0.88,0.33,0.0,0.34,0.67
2,svm,0.92,0.7,0.45,0.64,0.82
3,knn,0.94,0.64,0.47,0.7,0.87
4,bp,0.96,0.71,0.6,0.81,0.87
