,分类器,体育,军事,国际,政治,航空
0,bayes,0.95,0.9,0.69,0.95,0.91
1,svm,0.98,0.86,0.82,0.93,0.85
2,knn,0.93,0.66,0.77,0.87,0.75
3,bp,0.98,0.85,0.88,0.88,0.87
